date,time,cpu-thermal
2026-09-02,08:16:01,55.187
2026-09-02,08:17:01,55.156
2026-09-02,08:18:01,55.312
2026-09-02,08:19:01,55.312
2026-09-02,08:20:01,55.281
2026-09-02,08:21:01,55.718
2026-09-02,08:22:02,55.531
2026-09-02,08:23:01,55.281
2026-09-02,08:24:01,55.343
2026-09-02,08:25:01,55.312
2026-09-02,08:26:01,55.562
2026-09-02,08:27:01,55.562
2026-09-02,08:28:01,55.343
2026-09-02,08:29:01,55.593
2026-09-02,08:30:01,55.343
2026-09-02,08:31:01,55.218
2026-09-02,08:32:01,55.312
2026-09-02,08:33:01,55.531
2026-09-02,08:34:01,55.312
2026-09-02,08:35:02,55.312
2026-09-02,08:36:01,55.437
2026-09-02,08:37:01,55.625
2026-09-02,08:38:01,55.531
2026-09-02,08:39:01,55.375
2026-09-02,08:40:01,55.750
2026-09-02,08:41:01,55.281
2026-09-02,08:42:01,55.406
2026-09-02,08:43:01,55.750
2026-09-02,08:44:01,55.375
2026-09-02,08:45:01,55.718
2026-09-02,08:46:01,55.312
2026-09-02,08:47:01,55.375
2026-09-02,08:48:02,55.375
2026-09-02,08:49:01,55.406
2026-09-02,08:50:01,55.312
2026-09-02,08:51:01,55.750
2026-09-02,08:52:01,55.625
2026-09-02,08:53:01,55.718
2026-09-02,08:54:01,55.625
2026-09-02,08:55:01,55.593
2026-09-02,08:56:01,55.218
2026-09-02,08:57:01,55.687
2026-09-02,08:58:01,55.687
2026-09-02,08:59:01,55.531
2026-09-02,09:00:01,55.687
2026-09-02,09:01:02,55.593
2026-09-02,09:02:01,55.531
2026-09-02,09:03:01,55.437
2026-09-02,09:04:01,55.500
2026-09-02,09:05:01,55.625
2026-09-02,09:06:01,55.750
2026-09-02,09:07:01,55.437
2026-09-02,09:08:01,55.781
2026-09-02,09:09:01,55.593
2026-09-02,09:10:01,55.906
2026-09-02,09:11:01,55.718
2026-09-02,09:12:01,55.812
2026-09-02,09:13:01,55.593
2026-09-02,09:14:02,55.812
2026-09-02,09:15:01,55.937
2026-09-02,09:16:01,55.812
2026-09-02,09:17:01,55.968
2026-09-02,09:18:01,55.843
2026-09-02,09:19:01,56.031
2026-09-02,09:20:01,56.062
2026-09-02,09:21:01,55.843
2026-09-02,09:22:01,56.218
2026-09-02,09:23:01,56.093
2026-09-02,09:24:01,56.062
2026-09-02,09:25:01,56.000
2026-09-02,09:26:01,56.093
2026-09-02,09:27:01,56.281
2026-09-02,09:28:01,56.281
2026-09-02,09:29:01,56.187
2026-09-02,09:30:01,56.187
2026-09-02,09:31:01,56.250
2026-09-02,09:32:01,56.187
2026-09-02,09:33:01,56.281
2026-09-02,09:34:01,56.218
2026-09-02,09:35:01,56.125
2026-09-02,09:36:01,55.937
2026-09-02,09:37:01,55.937
2026-09-02,09:38:01,56.281
2026-09-02,09:39:01,56.218
2026-09-02,09:40:01,56.468
2026-09-02,09:41:02,56.125
2026-09-02,09:42:01,56.156
2026-09-02,09:43:01,56.281
2026-09-02,09:44:01,56.437
2026-09-02,09:45:01,56.406
2026-09-02,09:46:01,56.343
2026-09-02,09:47:01,56.187
2026-09-02,09:48:01,56.562
2026-09-02,09:49:01,56.593
2026-09-02,09:50:01,56.625
2026-09-02,09:51:01,56.281
2026-09-02,09:52:01,56.468
2026-09-02,09:53:01,56.531
2026-09-02,09:54:02,56.406
2026-09-02,09:55:01,56.437
2026-09-02,09:56:01,56.500
2026-09-02,09:57:01,56.531
2026-09-02,09:58:01,56.343
2026-09-02,09:59:01,56.375
2026-09-02,10:00:01,56.781
2026-09-02,10:01:01,56.625
2026-09-02,10:02:01,56.531
2026-09-02,10:03:01,56.937
2026-09-02,10:04:01,56.687
2026-09-02,10:05:01,56.406
2026-09-02,10:06:01,56.718
2026-09-02,10:07:02,56.718
2026-09-02,10:08:01,56.625
2026-09-02,10:09:01,56.468
2026-09-02,10:10:01,56.781
2026-09-02,10:11:01,56.875
2026-09-02,10:12:01,56.781
2026-09-02,10:13:01,56.718
2026-09-02,10:14:01,56.687
2026-09-02,10:15:01,56.718
2026-09-02,10:16:01,56.593
2026-09-02,10:17:01,57.218
2026-09-02,10:18:01,57.000
2026-09-02,10:19:01,56.812
2026-09-02,10:20:02,56.812
2026-09-02,10:21:01,56.937
2026-09-02,10:22:01,57.062
2026-09-02,10:23:01,57.125
2026-09-02,10:24:01,57.125
2026-09-02,10:25:01,57.062
2026-09-02,10:26:01,57.000
2026-09-02,10:27:01,57.031
2026-09-02,10:28:01,56.937
2026-09-02,10:29:01,57.062
2026-09-02,10:30:01,56.875
2026-09-02,10:31:01,57.000
2026-09-02,10:32:01,56.843
2026-09-02,10:33:02,56.781
2026-09-02,10:34:01,56.718
2026-09-02,10:35:01,57.093
2026-09-02,10:36:01,56.937
2026-09-02,10:37:01,57.187
2026-09-02,10:38:01,57.000
2026-09-02,10:39:01,57.437
2026-09-02,10:40:01,57.406
2026-09-02,10:41:01,57.156
2026-09-02,10:42:01,57.187
2026-09-02,10:43:01,56.875
2026-09-02,10:44:01,57.218
2026-09-02,10:45:01,57.187
2026-09-02,10:46:02,57.093
2026-09-02,10:47:01,57.218
2026-09-02,10:48:01,57.468
2026-09-02,10:49:01,57.437
2026-09-02,10:50:01,57.406
2026-09-02,10:51:01,57.281
2026-09-02,10:52:01,57.218
2026-09-02,10:53:01,57.343
2026-09-02,10:54:01,57.250
2026-09-02,10:55:01,57.656
2026-09-02,10:56:01,57.531
2026-09-02,10:57:01,57.562
2026-09-02,10:58:01,57.312
2026-09-02,10:59:02,57.312
2026-09-02,11:00:01,57.281
2026-09-02,11:01:01,57.250
2026-09-02,11:02:01,57.187
2026-09-02,11:03:01,57.218
2026-09-02,11:04:01,57.406
2026-09-02,11:05:01,57.406
2026-09-02,11:06:01,57.500
2026-09-02,11:07:01,57.125
2026-09-02,11:08:01,57.312
2026-09-02,11:09:01,57.593
2026-09-02,11:10:01,57.500
2026-09-02,11:11:01,57.531
2026-09-02,11:12:01,57.625
2026-09-02,11:13:02,57.312
2026-09-02,11:14:01,57.156
2026-09-02,11:15:01,57.375
2026-09-02,11:16:01,57.250
2026-09-02,11:17:01,57.406
2026-09-02,11:18:01,57.281
2026-09-02,11:19:01,57.500
2026-09-02,11:20:01,57.406
2026-09-02,11:21:01,57.343
2026-09-02,11:22:01,57.437
2026-09-02,11:23:01,57.562
2026-09-02,11:24:01,57.343
2026-09-02,11:25:01,57.406
2026-09-02,11:26:02,57.593
2026-09-02,11:27:01,57.468
2026-09-02,11:28:01,57.468
2026-09-02,11:29:01,57.250
2026-09-02,11:30:01,57.500
2026-09-02,11:31:01,57.625
2026-09-02,11:32:01,57.375
2026-09-02,11:33:01,57.562
2026-09-02,11:34:01,57.593
2026-09-02,11:35:01,57.468
2026-09-02,11:36:01,57.218
2026-09-02,11:37:01,57.375
2026-09-02,11:38:02,57.281
2026-09-02,11:39:01,57.312
2026-09-02,11:40:01,57.562
2026-09-02,11:41:01,57.875
2026-09-02,11:42:01,57.781
2026-09-02,11:43:01,57.500
2026-09-02,11:44:01,57.718
2026-09-02,11:45:01,57.718
2026-09-02,11:46:01,57.562
2026-09-02,11:47:01,57.687
2026-09-02,11:48:01,57.812
2026-09-02,11:49:01,57.468
2026-09-02,11:50:01,57.718
2026-09-02,11:51:01,57.875
2026-09-02,11:52:02,57.656
2026-09-02,11:53:01,57.843
2026-09-02,11:54:01,57.593
2026-09-02,11:55:01,57.718
2026-09-02,11:56:01,57.906
2026-09-02,11:57:01,57.406
2026-09-02,11:58:01,57.875
2026-09-02,11:59:01,58.156
2026-09-02,12:00:01,57.843
2026-09-02,12:01:01,57.968
2026-09-02,12:02:01,57.968
2026-09-02,12:03:01,57.875
2026-09-02,12:04:01,57.843
2026-09-02,12:05:02,58.187
2026-09-02,12:06:01,58.250
2026-09-02,12:07:01,57.906
2026-09-02,12:08:01,57.968
2026-09-02,12:09:01,58.250
2026-09-02,12:10:01,58.218
2026-09-02,12:11:01,58.125
2026-09-02,12:12:01,58.218
2026-09-02,12:13:01,58.218
2026-09-02,12:14:01,57.968
2026-09-02,12:15:01,58.031
2026-09-02,12:16:01,58.125
2026-09-02,12:17:01,57.968
2026-09-02,12:18:02,58.062
2026-09-02,12:19:01,58.218
2026-09-02,12:20:01,58.062
2026-09-02,12:21:01,58.156
2026-09-02,12:22:01,58.000
2026-09-02,12:23:01,58.125
2026-09-02,12:24:01,58.531
2026-09-02,12:25:01,58.468
2026-09-02,12:26:01,58.000
2026-09-02,12:27:01,58.062
2026-09-02,12:28:01,58.281
2026-09-02,12:29:01,58.218
2026-09-02,12:30:01,58.218
2026-09-02,12:31:02,58.468
2026-09-02,12:32:01,58.625
2026-09-02,12:33:01,58.500
2026-09-02,12:34:01,58.000
2026-09-02,12:35:01,58.093
2026-09-02,12:36:01,58.187
2026-09-02,12:37:01,57.968
2026-09-02,12:38:01,58.343
2026-09-02,12:39:01,58.562
2026-09-02,12:40:01,58.593
2026-09-02,12:41:01,58.343
2026-09-02,12:42:01,58.500
2026-09-02,12:43:01,58.312
2026-09-02,12:44:02,58.343
2026-09-02,12:45:01,58.218
2026-09-02,12:46:01,58.562
2026-09-02,12:47:01,58.312
2026-09-02,12:48:01,58.312
2026-09-02,12:49:01,58.500
2026-09-02,12:50:01,58.562
2026-09-02,12:51:01,58.500
2026-09-02,12:52:01,58.468
2026-09-02,12:53:01,58.375
2026-09-02,12:54:01,58.593
2026-09-02,12:55:01,58.562
2026-09-02,12:56:01,58.500
2026-09-02,12:57:02,58.343
2026-09-02,12:58:01,58.375
2026-09-02,12:59:01,58.343
2026-09-02,13:00:01,58.437
2026-09-02,13:01:01,58.625
2026-09-02,13:02:01,58.687
2026-09-02,13:03:01,58.687
2026-09-02,13:04:01,58.312
2026-09-02,13:05:01,58.281
2026-09-02,13:06:01,58.656
2026-09-02,13:07:01,58.906
2026-09-02,13:08:01,58.750
2026-09-02,13:09:01,58.875
2026-09-02,13:10:02,58.500
2026-09-02,13:11:01,58.625
2026-09-02,13:12:01,58.781
2026-09-02,13:13:01,58.750
2026-09-02,13:14:01,58.500
2026-09-02,13:15:01,58.468
2026-09-02,13:16:01,58.468
2026-09-02,13:17:01,58.500
2026-09-02,13:18:01,58.687
2026-09-02,13:19:01,58.687
2026-09-02,13:20:01,58.875
2026-09-02,13:21:01,58.937
2026-09-02,13:22:01,58.968
2026-09-02,13:23:02,58.718
2026-09-02,13:24:01,58.687
2026-09-02,13:25:01,58.812
2026-09-02,13:26:01,59.187
2026-09-02,13:27:01,58.687
2026-09-02,13:28:01,58.843
2026-09-02,13:29:01,58.781
2026-09-02,13:30:01,58.781
2026-09-02,13:31:01,58.562
2026-09-02,13:32:01,58.593
2026-09-02,13:33:01,58.937
2026-09-02,13:34:01,58.750
2026-09-02,13:35:01,58.968
2026-09-02,13:36:02,59.156
2026-09-02,13:37:01,59.125
2026-09-02,13:38:01,58.937
2026-09-02,13:39:01,59.031
